category,station_code,station_name,station_type,city,town,elevation_m,longitude,latitude,address,month,metric,source_name,source_url,raw_source_file,raw_item_name,raw_item_value,raw_item_unit,processed_value,processed_unit,processed_method,data_status
water,C0E550,明德,署屬自動站,苗栗縣,頭屋鄉,84,120.885411,24.583486,明德水庫水利工作站屋頂上,2025-08,rainfall,中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html,C0E550-2025.csv,降水量,57.5,mm,57.5,mm,直接採用該測站 CODiS 2025 年月報表欄位「降水量」作為系統測站層級資料；目前未進行鄉鎮推估。,完整
water,C0E550,明德,署屬自動站,苗栗縣,頭屋鄉,84,120.885411,24.583486,明德水庫水利工作站屋頂上,2025-08,rainfall_days,中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html,C0E550-2025.csv,降水日數,9,day,9,day,直接採用該測站 CODiS 2025 年月報表欄位「降水日數」作為系統測站層級資料；目前未進行鄉鎮推估。,完整
water,C0E550,明德,署屬自動站,苗栗縣,頭屋鄉,84,120.885411,24.583486,明德水庫水利工作站屋頂上,2025-08,max_daily_rainfall,中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html,C0E550-2025.csv,最大日降水量,18,mm,18,mm,直接採用該測站 CODiS 2025 年月報表欄位「最大日降水量」作為系統測站層級資料；目前未進行鄉鎮推估。,完整
water,C0E550,明德,署屬自動站,苗栗縣,頭屋鄉,84,120.885411,24.583486,明德水庫水利工作站屋頂上,2025-08,average_temperature,中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html,C0E550-2025.csv,氣溫,28.8,℃,28.8,℃,直接採用該測站 CODiS 2025 年月報表欄位「氣溫」作為系統測站層級資料；目前未進行鄉鎮推估。,完整
water,C0E550,明德,署屬自動站,苗栗縣,頭屋鄉,84,120.885411,24.583486,明德水庫水利工作站屋頂上,2025-08,relative_humidity,中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html,C0E550-2025.csv,相對溼度,77,%,77,%,直接採用該測站 CODiS 2025 年月報表欄位「相對溼度」作為系統測站層級資料；目前未進行鄉鎮推估。,完整
water,C0E550,明德,署屬自動站,苗栗縣,頭屋鄉,84,120.885411,24.583486,明德水庫水利工作站屋頂上,2025-09,rainfall,中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html,C0E550-2025.csv,降水量,110.5,mm,110.5,mm,直接採用該測站 CODiS 2025 年月報表欄位「降水量」作為系統測站層級資料；目前未進行鄉鎮推估。,完整
water,C0E550,明德,署屬自動站,苗栗縣,頭屋鄉,84,120.885411,24.583486,明德水庫水利工作站屋頂上,2025-09,rainfall_days,中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html,C0E550-2025.csv,降水日數,8,day,8,day,直接採用該測站 CODiS 2025 年月報表欄位「降水日數」作為系統測站層級資料；目前未進行鄉鎮推估。,完整
water,C0E550,明德,署屬自動站,苗栗縣,頭屋鄉,84,120.885411,24.583486,明德水庫水利工作站屋頂上,2025-09,max_daily_rainfall,中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html,C0E550-2025.csv,最大日降水量,70.5,mm,70.5,mm,直接採用該測站 CODiS 2025 年月報表欄位「最大日降水量」作為系統測站層級資料；目前未進行鄉鎮推估。,完整
water,C0E550,明德,署屬自動站,苗栗縣,頭屋鄉,84,120.885411,24.583486,明德水庫水利工作站屋頂上,2025-09,average_temperature,中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html,C0E550-2025.csv,氣溫,28.3,℃,28.3,℃,直接採用該測站 CODiS 2025 年月報表欄位「氣溫」作為系統測站層級資料；目前未進行鄉鎮推估。,完整
water,C0E550,明德,署屬自動站,苗栗縣,頭屋鄉,84,120.885411,24.583486,明德水庫水利工作站屋頂上,2025-09,relative_humidity,中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html,C0E550-2025.csv,相對溼度,82,%,82,%,直接採用該測站 CODiS 2025 年月報表欄位「相對溼度」作為系統測站層級資料；目前未進行鄉鎮推估。,完整
water,C0E550,明德,署屬自動站,苗栗縣,頭屋鄉,84,120.885411,24.583486,明德水庫水利工作站屋頂上,2025-10,rainfall,中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html,C0E550-2025.csv,降水量,70.5,mm,70.5,mm,直接採用該測站 CODiS 2025 年月報表欄位「降水量」作為系統測站層級資料；目前未進行鄉鎮推估。,完整
water,C0E550,明德,署屬自動站,苗栗縣,頭屋鄉,84,120.885411,24.583486,明德水庫水利工作站屋頂上,2025-10,rainfall_days,中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html,C0E550-2025.csv,降水日數,6,day,6,day,直接採用該測站 CODiS 2025 年月報表欄位「降水日數」作為系統測站層級資料；目前未進行鄉鎮推估。,完整
water,C0E550,明德,署屬自動站,苗栗縣,頭屋鄉,84,120.885411,24.583486,明德水庫水利工作站屋頂上,2025-10,max_daily_rainfall,中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html,C0E550-2025.csv,最大日降水量,30,mm,30,mm,直接採用該測站 CODiS 2025 年月報表欄位「最大日降水量」作為系統測站層級資料；目前未進行鄉鎮推估。,完整
water,C0E550,明德,署屬自動站,苗栗縣,頭屋鄉,84,120.885411,24.583486,明德水庫水利工作站屋頂上,2025-10,average_temperature,中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html,C0E550-2025.csv,氣溫,26.5,℃,26.5,℃,直接採用該測站 CODiS 2025 年月報表欄位「氣溫」作為系統測站層級資料；目前未進行鄉鎮推估。,完整
water,C0E550,明德,署屬自動站,苗栗縣,頭屋鄉,84,120.885411,24.583486,明德水庫水利工作站屋頂上,2025-10,relative_humidity,中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html,C0E550-2025.csv,相對溼度,79,%,79,%,直接採用該測站 CODiS 2025 年月報表欄位「相對溼度」作為系統測站層級資料；目前未進行鄉鎮推估。,完整
water,C0E550,明德,署屬自動站,苗栗縣,頭屋鄉,84,120.885411,24.583486,明德水庫水利工作站屋頂上,2025-11,rainfall,中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html,C0E550-2025.csv,降水量,31.5,mm,31.5,mm,直接採用該測站 CODiS 2025 年月報表欄位「降水量」作為系統測站層級資料；目前未進行鄉鎮推估。,完整
water,C0E550,明德,署屬自動站,苗栗縣,頭屋鄉,84,120.885411,24.583486,明德水庫水利工作站屋頂上,2025-11,rainfall_days,中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html,C0E550-2025.csv,降水日數,5,day,5,day,直接採用該測站 CODiS 2025 年月報表欄位「降水日數」作為系統測站層級資料；目前未進行鄉鎮推估。,完整
water,C0E550,明德,署屬自動站,苗栗縣,頭屋鄉,84,120.885411,24.583486,明德水庫水利工作站屋頂上,2025-11,max_daily_rainfall,中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html,C0E550-2025.csv,最大日降水量,16,mm,16,mm,直接採用該測站 CODiS 2025 年月報表欄位「最大日降水量」作為系統測站層級資料；目前未進行鄉鎮推估。,完整
water,C0E550,明德,署屬自動站,苗栗縣,頭屋鄉,84,120.885411,24.583486,明德水庫水利工作站屋頂上,2025-11,average_temperature,中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html,C0E550-2025.csv,氣溫,21.6,℃,21.6,℃,直接採用該測站 CODiS 2025 年月報表欄位「氣溫」作為系統測站層級資料；目前未進行鄉鎮推估。,完整
water,C0E550,明德,署屬自動站,苗栗縣,頭屋鄉,84,120.885411,24.583486,明德水庫水利工作站屋頂上,2025-11,relative_humidity,中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html,C0E550-2025.csv,相對溼度,77,%,77,%,直接採用該測站 CODiS 2025 年月報表欄位「相對溼度」作為系統測站層級資料；目前未進行鄉鎮推估。,完整
water,C0E550,明德,署屬自動站,苗栗縣,頭屋鄉,84,120.885411,24.583486,明德水庫水利工作站屋頂上,2025-12,rainfall,中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html,C0E550-2025.csv,降水量,3,mm,3,mm,直接採用該測站 CODiS 2025 年月報表欄位「降水量」作為系統測站層級資料；目前未進行鄉鎮推估。,完整
water,C0E550,明德,署屬自動站,苗栗縣,頭屋鄉,84,120.885411,24.583486,明德水庫水利工作站屋頂上,2025-12,rainfall_days,中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html,C0E550-2025.csv,降水日數,3,day,3,day,直接採用該測站 CODiS 2025 年月報表欄位「降水日數」作為系統測站層級資料；目前未進行鄉鎮推估。,完整
water,C0E550,明德,署屬自動站,苗栗縣,頭屋鄉,84,120.885411,24.583486,明德水庫水利工作站屋頂上,2025-12,max_daily_rainfall,中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html,C0E550-2025.csv,最大日降水量,1.5,mm,1.5,mm,直接採用該測站 CODiS 2025 年月報表欄位「最大日降水量」作為系統測站層級資料；目前未進行鄉鎮推估。,完整
water,C0E550,明德,署屬自動站,苗栗縣,頭屋鄉,84,120.885411,24.583486,明德水庫水利工作站屋頂上,2025-12,average_temperature,中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html,C0E550-2025.csv,氣溫,18.4,℃,18.4,℃,直接採用該測站 CODiS 2025 年月報表欄位「氣溫」作為系統測站層級資料；目前未進行鄉鎮推估。,完整
water,C0E550,明德,署屬自動站,苗栗縣,頭屋鄉,84,120.885411,24.583486,明德水庫水利工作站屋頂上,2025-12,relative_humidity,中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html,C0E550-2025.csv,相對溼度,80,%,80,%,直接採用該測站 CODiS 2025 年月報表欄位「相對溼度」作為系統測站層級資料；目前未進行鄉鎮推估。,完整
water,C0E570,白沙屯,署屬自動站,苗栗縣,通霄鎮,31,120.696803,24.549447,新埔里19鄰新埔151-2號,2025-01,rainfall,中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html,C0E570-2025.csv,降水量,,mm,,mm,直接採用該測站 CODiS 2025 年月報表欄位「降水量」作為系統測站層級資料；目前未進行鄉鎮推估。,缺值
water,C0E570,白沙屯,署屬自動站,苗栗縣,通霄鎮,31,120.696803,24.549447,新埔里19鄰新埔151-2號,2025-01,rainfall_days,中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html,C0E570-2025.csv,降水日數,,day,,day,直接採用該測站 CODiS 2025 年月報表欄位「降水日數」作為系統測站層級資料；目前未進行鄉鎮推估。,缺值
water,C0E570,白沙屯,署屬自動站,苗栗縣,通霄鎮,31,120.696803,24.549447,新埔里19鄰新埔151-2號,2025-01,max_daily_rainfall,中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html,C0E570-2025.csv,最大日降水量,,mm,,mm,直接採用該測站 CODiS 2025 年月報表欄位「最大日降水量」作為系統測站層級資料；目前未進行鄉鎮推估。,缺值
